actual,status,risk_score,risk_level
neptune,ANOMALY,82.16,HIGH
normal,NORMAL,18.11,LOW
normal,NORMAL,49.8,MEDIUM
normal,NORMAL,49.62,MEDIUM
normal,NORMAL,2.66,LOW
normal,NORMAL,1.91,LOW
normal,NORMAL,0.69,LOW
saint,ANOMALY,53.95,MEDIUM
neptune,ANOMALY,86.71,HIGH
neptune,ANOMALY,82.02,HIGH
snmpgetattack,NORMAL,40.4,MEDIUM
normal,NORMAL,1.73,LOW
processtable,NORMAL,39.6,MEDIUM
normal,NORMAL,3.79,LOW
normal,NORMAL,0.78,LOW
normal,NORMAL,0.38,LOW
mscan,ANOMALY,77.87,HIGH
neptune,ANOMALY,86.54,HIGH
normal,NORMAL,1.29,LOW
normal,NORMAL,0.54,LOW
warezmaster,NORMAL,33.94,MEDIUM
mscan,ANOMALY,75.39,HIGH
normal,NORMAL,23.17,LOW
guess_passwd,NORMAL,35.12,MEDIUM
normal,NORMAL,3.3,LOW
processtable,NORMAL,47.88,MEDIUM
neptune,ANOMALY,74.68,HIGH
normal,NORMAL,2.04,LOW
mscan,ANOMALY,77.67,HIGH
back,NORMAL,15.13,LOW
neptune,ANOMALY,80.35,HIGH
normal,ANOMALY,52.16,MEDIUM
normal,NORMAL,33.62,MEDIUM
normal,NORMAL,19.64,LOW
saint,ANOMALY,93.4,HIGH
neptune,ANOMALY,75.65,HIGH
guess_passwd,NORMAL,20.93,LOW
normal,NORMAL,2.78,LOW
saint,ANOMALY,93.18,HIGH
guess_passwd,NORMAL,15.43,LOW
neptune,ANOMALY,80.57,HIGH
neptune,ANOMALY,83.79,HIGH
smurf,ANOMALY,52.66,MEDIUM
smurf,NORMAL,41.15,MEDIUM
saint,ANOMALY,99.63,HIGH
satan,ANOMALY,93.38,HIGH
back,NORMAL,25.62,LOW
satan,ANOMALY,95.0,HIGH
mscan,ANOMALY,59.69,MEDIUM
nmap,ANOMALY,82.55,HIGH
neptune,ANOMALY,74.4,HIGH
normal,NORMAL,31.92,MEDIUM
normal,NORMAL,2.21,LOW
normal,NORMAL,16.96,LOW
snmpguess,NORMAL,26.61,LOW
processtable,NORMAL,45.96,MEDIUM
saint,ANOMALY,54.21,MEDIUM
normal,NORMAL,22.94,LOW
normal,NORMAL,1.54,LOW
normal,NORMAL,19.11,LOW
normal,NORMAL,11.4,LOW
neptune,ANOMALY,81.64,HIGH
normal,NORMAL,0.86,LOW
guess_passwd,NORMAL,23.06,LOW
neptune,ANOMALY,82.9,HIGH
warezmaster,NORMAL,30.23,MEDIUM
processtable,NORMAL,41.18,MEDIUM
normal,NORMAL,2.68,LOW
normal,NORMAL,12.98,LOW
normal,NORMAL,1.93,LOW
normal,NORMAL,28.2,LOW
normal,NORMAL,21.32,LOW
normal,NORMAL,33.93,MEDIUM
back,NORMAL,16.85,LOW
mscan,ANOMALY,83.52,HIGH
normal,NORMAL,2.11,LOW
normal,NORMAL,0.47,LOW
normal,NORMAL,1.22,LOW
normal,NORMAL,17.36,LOW
mscan,ANOMALY,66.17,MEDIUM
mscan,ANOMALY,67.05,MEDIUM
normal,NORMAL,49.73,MEDIUM
normal,NORMAL,2.24,LOW
httptunnel,ANOMALY,61.74,MEDIUM
satan,ANOMALY,94.3,HIGH
normal,NORMAL,1.26,LOW
normal,NORMAL,1.2,LOW
mscan,ANOMALY,74.92,HIGH
warezmaster,NORMAL,41.67,MEDIUM
normal,NORMAL,17.29,LOW
normal,NORMAL,35.25,MEDIUM
normal,NORMAL,2.62,LOW
neptune,ANOMALY,83.21,HIGH
normal,NORMAL,0.71,LOW
apache2,ANOMALY,62.6,MEDIUM
normal,NORMAL,2.31,LOW
guess_passwd,NORMAL,22.85,LOW
guess_passwd,NORMAL,18.68,LOW
normal,NORMAL,1.61,LOW
normal,NORMAL,0.95,LOW
satan,ANOMALY,99.19,HIGH
normal,ANOMALY,65.63,MEDIUM
normal,NORMAL,0.48,LOW
normal,NORMAL,2.19,LOW
normal,NORMAL,6.28,LOW
mailbomb,NORMAL,13.13,LOW
smurf,ANOMALY,52.82,MEDIUM
normal,NORMAL,1.97,LOW
guess_passwd,NORMAL,20.63,LOW
processtable,NORMAL,50.56,MEDIUM
mscan,ANOMALY,72.24,HIGH
nmap,ANOMALY,76.31,HIGH
normal,NORMAL,4.77,LOW
normal,NORMAL,0.86,LOW
neptune,ANOMALY,75.73,HIGH
normal,ANOMALY,63.86,MEDIUM
apache2,ANOMALY,72.79,HIGH
normal,NORMAL,0.54,LOW
normal,NORMAL,1.26,LOW
neptune,ANOMALY,81.84,HIGH
normal,NORMAL,1.05,LOW
neptune,ANOMALY,81.94,HIGH
normal,NORMAL,2.95,LOW
normal,NORMAL,1.86,LOW
neptune,ANOMALY,85.49,HIGH
normal,NORMAL,4.84,LOW
neptune,ANOMALY,86.31,HIGH
neptune,ANOMALY,80.81,HIGH
neptune,ANOMALY,77.01,HIGH
normal,NORMAL,2.29,LOW
normal,NORMAL,1.86,LOW
neptune,ANOMALY,81.34,HIGH
guess_passwd,NORMAL,9.45,LOW
processtable,NORMAL,48.73,MEDIUM
neptune,ANOMALY,80.47,HIGH
normal,NORMAL,1.63,LOW
warezmaster,NORMAL,26.08,LOW
httptunnel,ANOMALY,62.28,MEDIUM
normal,NORMAL,2.82,LOW
mscan,ANOMALY,73.08,HIGH
mscan,ANOMALY,70.0,HIGH
normal,NORMAL,1.12,LOW
neptune,ANOMALY,87.72,HIGH
neptune,ANOMALY,76.14,HIGH
normal,NORMAL,0.4,LOW
normal,NORMAL,17.6,LOW
normal,NORMAL,0.33,LOW
normal,NORMAL,16.51,LOW
normal,NORMAL,15.13,LOW
normal,NORMAL,6.34,LOW
normal,NORMAL,17.62,LOW
satan,ANOMALY,98.14,HIGH
normal,NORMAL,1.22,LOW
satan,ANOMALY,95.12,HIGH
processtable,ANOMALY,66.38,MEDIUM
normal,NORMAL,1.53,LOW
normal,NORMAL,1.44,LOW
apache2,NORMAL,51.42,MEDIUM
normal,NORMAL,17.85,LOW
normal,NORMAL,2.97,LOW
normal,NORMAL,5.63,LOW
neptune,ANOMALY,79.46,HIGH
satan,ANOMALY,67.31,MEDIUM
normal,NORMAL,2.22,LOW
neptune,ANOMALY,76.13,HIGH
guess_passwd,NORMAL,10.53,LOW
normal,NORMAL,38.61,MEDIUM
normal,NORMAL,2.26,LOW
normal,NORMAL,2.06,LOW
neptune,ANOMALY,81.34,HIGH
normal,NORMAL,3.67,LOW
guess_passwd,NORMAL,28.32,LOW
smurf,NORMAL,48.04,MEDIUM
normal,NORMAL,5.05,LOW
normal,NORMAL,1.02,LOW
warezmaster,NORMAL,33.74,MEDIUM
normal,NORMAL,1.27,LOW
normal,NORMAL,0.96,LOW
normal,NORMAL,1.34,LOW
normal,NORMAL,1.14,LOW
normal,NORMAL,49.63,MEDIUM
neptune,ANOMALY,86.5,HIGH
warezmaster,NORMAL,37.06,MEDIUM
neptune,ANOMALY,81.57,HIGH
guess_passwd,NORMAL,14.51,LOW
normal,NORMAL,3.29,LOW
mscan,ANOMALY,66.84,MEDIUM
normal,NORMAL,20.12,LOW
guess_passwd,NORMAL,9.96,LOW
smurf,NORMAL,38.87,MEDIUM
neptune,ANOMALY,80.32,HIGH
normal,NORMAL,4.0,LOW
warezmaster,NORMAL,25.51,LOW
processtable,ANOMALY,56.31,MEDIUM
guess_passwd,NORMAL,13.89,LOW
neptune,ANOMALY,81.93,HIGH
normal,NORMAL,22.72,LOW
mscan,ANOMALY,73.62,HIGH
warezmaster,NORMAL,28.33,LOW
normal,NORMAL,5.95,LOW
normal,NORMAL,2.38,LOW
neptune,ANOMALY,86.15,HIGH
normal,NORMAL,49.72,MEDIUM
normal,NORMAL,0.41,LOW
neptune,ANOMALY,80.6,HIGH
normal,NORMAL,2.41,LOW
portsweep,ANOMALY,73.08,HIGH
normal,NORMAL,26.05,LOW
normal,NORMAL,2.81,LOW
httptunnel,ANOMALY,61.94,MEDIUM
mscan,ANOMALY,78.5,HIGH
normal,NORMAL,2.47,LOW
guess_passwd,NORMAL,11.16,LOW
normal,NORMAL,2.7,LOW
apache2,ANOMALY,55.56,MEDIUM
normal,NORMAL,1.19,LOW
normal,ANOMALY,62.27,MEDIUM
apache2,ANOMALY,56.61,MEDIUM
normal,NORMAL,1.72,LOW
normal,NORMAL,0.56,LOW
neptune,ANOMALY,74.65,HIGH
normal,NORMAL,3.4,LOW
neptune,ANOMALY,80.99,HIGH
smurf,NORMAL,44.2,MEDIUM
neptune,ANOMALY,74.46,HIGH
normal,NORMAL,2.55,LOW
neptune,ANOMALY,75.58,HIGH
ps,NORMAL,24.18,LOW
pod,NORMAL,41.46,MEDIUM
normal,NORMAL,0.54,LOW
normal,NORMAL,1.2,LOW
normal,NORMAL,16.62,LOW
normal,NORMAL,1.45,LOW
normal,NORMAL,3.05,LOW
normal,NORMAL,12.17,LOW
neptune,ANOMALY,80.28,HIGH
neptune,ANOMALY,81.69,HIGH
smurf,NORMAL,39.12,MEDIUM
ipsweep,NORMAL,51.61,MEDIUM
smurf,NORMAL,40.51,MEDIUM
saint,ANOMALY,53.62,MEDIUM
smurf,NORMAL,46.11,MEDIUM
warezmaster,NORMAL,30.3,MEDIUM
neptune,ANOMALY,86.54,HIGH
normal,NORMAL,1.7,LOW
apache2,ANOMALY,61.23,MEDIUM
back,NORMAL,18.06,LOW
neptune,ANOMALY,82.52,HIGH
neptune,ANOMALY,75.22,HIGH
guess_passwd,NORMAL,12.29,LOW
guess_passwd,NORMAL,10.62,LOW
guess_passwd,NORMAL,21.59,LOW
mailbomb,NORMAL,27.48,LOW
satan,ANOMALY,95.1,HIGH
neptune,ANOMALY,84.75,HIGH
back,NORMAL,18.33,LOW
normal,NORMAL,26.5,LOW
neptune,ANOMALY,86.71,HIGH
neptune,ANOMALY,80.46,HIGH
xterm,ANOMALY,60.8,MEDIUM
processtable,ANOMALY,53.35,MEDIUM
warezmaster,NORMAL,28.62,LOW
normal,NORMAL,24.46,LOW
normal,NORMAL,3.24,LOW
neptune,ANOMALY,74.16,HIGH
neptune,ANOMALY,84.94,HIGH
normal,NORMAL,1.4,LOW
smurf,ANOMALY,53.52,MEDIUM
mscan,ANOMALY,67.04,MEDIUM
normal,NORMAL,6.35,LOW
processtable,NORMAL,50.32,MEDIUM
normal,NORMAL,2.18,LOW
normal,NORMAL,31.36,MEDIUM
warezmaster,NORMAL,36.71,MEDIUM
satan,ANOMALY,93.91,HIGH
normal,NORMAL,49.63,MEDIUM
normal,NORMAL,1.68,LOW
normal,NORMAL,1.11,LOW
warezmaster,NORMAL,27.9,LOW
neptune,ANOMALY,80.83,HIGH
neptune,ANOMALY,87.57,HIGH
neptune,ANOMALY,86.02,HIGH
normal,NORMAL,1.15,LOW
normal,NORMAL,21.55,LOW
normal,NORMAL,0.27,LOW
neptune,ANOMALY,83.87,HIGH
normal,NORMAL,1.13,LOW
snmpguess,NORMAL,26.39,LOW
normal,NORMAL,2.94,LOW
normal,ANOMALY,52.09,MEDIUM
normal,NORMAL,1.39,LOW
mscan,ANOMALY,76.67,HIGH
processtable,NORMAL,43.01,MEDIUM
normal,NORMAL,4.63,LOW
apache2,ANOMALY,76.24,HIGH
normal,NORMAL,28.5,LOW
normal,NORMAL,22.85,LOW
warezmaster,NORMAL,31.81,MEDIUM
neptune,ANOMALY,80.87,HIGH
neptune,ANOMALY,80.31,HIGH
neptune,ANOMALY,85.12,HIGH
normal,NORMAL,1.53,LOW
normal,NORMAL,3.63,LOW
smurf,ANOMALY,55.21,MEDIUM
normal,NORMAL,0.99,LOW
normal,ANOMALY,73.33,HIGH
normal,NORMAL,2.77,LOW
normal,NORMAL,1.81,LOW
guess_passwd,NORMAL,11.75,LOW
saint,ANOMALY,54.57,MEDIUM
neptune,ANOMALY,85.38,HIGH
neptune,ANOMALY,74.46,HIGH
neptune,ANOMALY,85.97,HIGH
normal,NORMAL,12.85,LOW
neptune,ANOMALY,86.92,HIGH
mailbomb,NORMAL,12.89,LOW
normal,NORMAL,1.0,LOW
guess_passwd,NORMAL,13.74,LOW
mailbomb,NORMAL,29.52,LOW
neptune,ANOMALY,81.25,HIGH
mscan,ANOMALY,65.86,MEDIUM
normal,NORMAL,2.6,LOW
normal,NORMAL,7.4,LOW
neptune,ANOMALY,87.03,HIGH
normal,NORMAL,9.9,LOW
mscan,ANOMALY,74.88,HIGH
neptune,ANOMALY,81.45,HIGH
normal,NORMAL,1.05,LOW
normal,NORMAL,0.59,LOW
smurf,NORMAL,50.01,MEDIUM
normal,NORMAL,1.9,LOW
normal,NORMAL,49.71,MEDIUM
normal,NORMAL,26.83,LOW
neptune,ANOMALY,86.57,HIGH
normal,NORMAL,34.89,MEDIUM
neptune,ANOMALY,83.05,HIGH
apache2,ANOMALY,67.38,MEDIUM
neptune,ANOMALY,86.99,HIGH
normal,NORMAL,0.47,LOW
mscan,ANOMALY,80.68,HIGH
smurf,ANOMALY,51.98,MEDIUM
satan,ANOMALY,73.61,HIGH
apache2,ANOMALY,62.6,MEDIUM
neptune,ANOMALY,76.56,HIGH
normal,NORMAL,1.75,LOW
back,NORMAL,14.16,LOW
neptune,ANOMALY,80.52,HIGH
normal,NORMAL,0.53,LOW
neptune,ANOMALY,76.57,HIGH
mscan,ANOMALY,79.06,HIGH
snmpguess,NORMAL,26.5,LOW
neptune,ANOMALY,81.96,HIGH
back,NORMAL,17.26,LOW
normal,ANOMALY,66.45,MEDIUM
mscan,ANOMALY,82.73,HIGH
warezmaster,NORMAL,29.56,LOW
warezmaster,NORMAL,28.75,LOW
neptune,ANOMALY,74.85,HIGH
satan,ANOMALY,93.72,HIGH
neptune,ANOMALY,81.85,HIGH
smurf,NORMAL,40.74,MEDIUM
neptune,ANOMALY,79.58,HIGH
neptune,ANOMALY,86.57,HIGH
apache2,ANOMALY,65.08,MEDIUM
normal,NORMAL,1.99,LOW
normal,NORMAL,0.63,LOW
normal,NORMAL,0.58,LOW
guess_passwd,NORMAL,20.82,LOW
satan,ANOMALY,94.61,HIGH
normal,NORMAL,29.44,LOW
normal,NORMAL,4.57,LOW
normal,NORMAL,1.06,LOW
normal,NORMAL,2.53,LOW
normal,NORMAL,1.75,LOW
normal,NORMAL,24.02,LOW
mscan,ANOMALY,67.18,MEDIUM
satan,ANOMALY,94.11,HIGH
normal,NORMAL,49.72,MEDIUM
normal,NORMAL,7.36,LOW
normal,NORMAL,49.72,MEDIUM
neptune,ANOMALY,86.61,HIGH
normal,NORMAL,2.08,LOW
normal,NORMAL,49.65,MEDIUM
normal,NORMAL,1.75,LOW
processtable,NORMAL,45.56,MEDIUM
neptune,ANOMALY,69.81,MEDIUM
neptune,ANOMALY,85.27,HIGH
normal,NORMAL,5.86,LOW
warezmaster,NORMAL,23.46,LOW
normal,NORMAL,9.62,LOW
neptune,ANOMALY,77.36,HIGH
normal,NORMAL,3.54,LOW
normal,NORMAL,19.23,LOW
warezmaster,NORMAL,27.43,LOW
ipsweep,NORMAL,33.06,MEDIUM
neptune,ANOMALY,74.88,HIGH
satan,ANOMALY,67.76,MEDIUM
normal,NORMAL,10.43,LOW
normal,NORMAL,1.54,LOW
normal,NORMAL,2.21,LOW
satan,ANOMALY,64.93,MEDIUM
neptune,ANOMALY,86.19,HIGH
normal,NORMAL,2.85,LOW
neptune,ANOMALY,85.14,HIGH
normal,NORMAL,18.77,LOW
normal,NORMAL,0.43,LOW
normal,NORMAL,6.02,LOW
neptune,ANOMALY,76.52,HIGH
neptune,ANOMALY,81.73,HIGH
warezmaster,NORMAL,33.85,MEDIUM
back,NORMAL,14.47,LOW
snmpgetattack,NORMAL,28.21,LOW
warezmaster,NORMAL,26.35,LOW
normal,NORMAL,0.82,LOW
normal,NORMAL,32.28,MEDIUM
normal,NORMAL,1.18,LOW
neptune,ANOMALY,84.22,HIGH
normal,NORMAL,2.75,LOW
apache2,ANOMALY,58.03,MEDIUM
guess_passwd,NORMAL,10.23,LOW
normal,NORMAL,8.11,LOW
guess_passwd,NORMAL,21.27,LOW
normal,NORMAL,4.49,LOW
guess_passwd,NORMAL,40.44,MEDIUM
apache2,ANOMALY,56.11,MEDIUM
normal,NORMAL,6.63,LOW
normal,NORMAL,18.8,LOW
neptune,ANOMALY,85.55,HIGH
normal,NORMAL,1.37,LOW
normal,NORMAL,0.46,LOW
neptune,ANOMALY,81.42,HIGH
neptune,ANOMALY,78.46,HIGH
normal,NORMAL,1.98,LOW
normal,NORMAL,0.36,LOW
normal,NORMAL,26.59,LOW
normal,NORMAL,0.33,LOW
neptune,ANOMALY,80.19,HIGH
normal,NORMAL,33.37,MEDIUM
normal,NORMAL,0.37,LOW
neptune,ANOMALY,76.76,HIGH
warezmaster,NORMAL,23.97,LOW
warezmaster,NORMAL,28.71,LOW
neptune,ANOMALY,81.25,HIGH
neptune,ANOMALY,86.61,HIGH
neptune,ANOMALY,76.4,HIGH
normal,NORMAL,17.43,LOW
warezmaster,NORMAL,18.52,LOW
snmpgetattack,NORMAL,26.88,LOW
guess_passwd,NORMAL,20.68,LOW
processtable,NORMAL,38.71,MEDIUM
apache2,ANOMALY,76.8,HIGH
normal,NORMAL,39.55,MEDIUM
normal,NORMAL,46.11,MEDIUM
normal,NORMAL,1.39,LOW
normal,NORMAL,15.61,LOW
normal,NORMAL,5.99,LOW
apache2,NORMAL,43.49,MEDIUM
normal,NORMAL,49.37,MEDIUM
normal,NORMAL,9.45,LOW
processtable,ANOMALY,53.94,MEDIUM
normal,NORMAL,1.83,LOW
processtable,NORMAL,43.51,MEDIUM
snmpguess,NORMAL,26.4,LOW
mscan,ANOMALY,68.06,MEDIUM
guess_passwd,NORMAL,11.34,LOW
saint,ANOMALY,75.65,HIGH
back,NORMAL,23.43,LOW
processtable,NORMAL,46.97,MEDIUM
back,NORMAL,15.4,LOW
normal,NORMAL,2.89,LOW
neptune,ANOMALY,76.13,HIGH
mscan,ANOMALY,76.2,HIGH
normal,NORMAL,0.56,LOW
normal,NORMAL,1.75,LOW
normal,NORMAL,46.51,MEDIUM
normal,NORMAL,4.82,LOW
normal,NORMAL,2.51,LOW
normal,NORMAL,2.65,LOW
normal,NORMAL,1.83,LOW
neptune,ANOMALY,84.59,HIGH
neptune,ANOMALY,73.62,HIGH
normal,NORMAL,49.4,MEDIUM
normal,NORMAL,1.08,LOW
pod,NORMAL,50.18,MEDIUM
guess_passwd,NORMAL,10.77,LOW
guess_passwd,NORMAL,11.4,LOW
neptune,ANOMALY,80.19,HIGH
satan,ANOMALY,94.88,HIGH
normal,NORMAL,9.39,LOW
normal,NORMAL,47.28,MEDIUM
guess_passwd,NORMAL,10.53,LOW
normal,NORMAL,2.08,LOW
neptune,ANOMALY,86.95,HIGH
normal,NORMAL,0.5,LOW
normal,NORMAL,14.54,LOW
neptune,ANOMALY,81.82,HIGH
normal,NORMAL,2.93,LOW
smurf,NORMAL,43.05,MEDIUM
neptune,ANOMALY,81.72,HIGH
neptune,ANOMALY,86.87,HIGH
neptune,ANOMALY,81.76,HIGH
normal,NORMAL,2.93,LOW
normal,NORMAL,21.19,LOW
normal,NORMAL,18.04,LOW
normal,NORMAL,0.83,LOW
normal,NORMAL,3.01,LOW
neptune,ANOMALY,82.36,HIGH
normal,NORMAL,0.24,LOW
normal,NORMAL,2.79,LOW
normal,NORMAL,1.57,LOW
normal,NORMAL,3.51,LOW
apache2,ANOMALY,64.84,MEDIUM
guess_passwd,NORMAL,20.59,LOW
normal,NORMAL,0.78,LOW
normal,NORMAL,2.35,LOW
satan,ANOMALY,64.29,MEDIUM
processtable,ANOMALY,85.24,HIGH
neptune,ANOMALY,75.97,HIGH
normal,NORMAL,2.18,LOW
warezmaster,NORMAL,27.14,LOW
normal,NORMAL,1.46,LOW
neptune,ANOMALY,86.71,HIGH
normal,NORMAL,1.68,LOW
neptune,ANOMALY,81.11,HIGH
mscan,ANOMALY,77.34,HIGH
guess_passwd,NORMAL,10.53,LOW
neptune,ANOMALY,76.11,HIGH
apache2,ANOMALY,56.02,MEDIUM
neptune,ANOMALY,91.24,HIGH
mailbomb,NORMAL,24.4,LOW
mscan,ANOMALY,81.61,HIGH
normal,NORMAL,48.47,MEDIUM
normal,NORMAL,12.04,LOW
normal,NORMAL,7.07,LOW
normal,NORMAL,36.89,MEDIUM
guess_passwd,NORMAL,21.17,LOW
neptune,ANOMALY,82.02,HIGH
guess_passwd,NORMAL,20.85,LOW
normal,NORMAL,1.12,LOW
normal,NORMAL,2.06,LOW
neptune,ANOMALY,81.52,HIGH
satan,ANOMALY,96.65,HIGH
guess_passwd,NORMAL,9.48,LOW
normal,NORMAL,1.27,LOW
normal,NORMAL,0.48,LOW
normal,NORMAL,29.14,LOW
neptune,ANOMALY,81.88,HIGH
neptune,ANOMALY,76.47,HIGH
normal,NORMAL,10.37,LOW
warezmaster,NORMAL,26.69,LOW
mscan,ANOMALY,78.76,HIGH
guess_passwd,NORMAL,27.34,LOW
neptune,ANOMALY,84.44,HIGH
mscan,ANOMALY,65.11,MEDIUM
warezmaster,NORMAL,32.0,MEDIUM
neptune,ANOMALY,86.33,HIGH
normal,NORMAL,10.95,LOW
warezmaster,NORMAL,36.3,MEDIUM
normal,NORMAL,31.91,MEDIUM
normal,NORMAL,0.94,LOW
normal,NORMAL,5.0,LOW
mailbomb,NORMAL,43.4,MEDIUM
guess_passwd,NORMAL,13.88,LOW
satan,ANOMALY,64.0,MEDIUM
mscan,ANOMALY,74.65,HIGH
normal,NORMAL,0.53,LOW
normal,NORMAL,36.32,MEDIUM
normal,NORMAL,7.44,LOW
satan,ANOMALY,93.9,HIGH
apache2,ANOMALY,61.53,MEDIUM
nmap,ANOMALY,83.0,HIGH
normal,NORMAL,11.64,LOW
guess_passwd,NORMAL,9.68,LOW
normal,NORMAL,0.31,LOW
apache2,ANOMALY,53.89,MEDIUM
neptune,ANOMALY,86.61,HIGH
normal,NORMAL,2.87,LOW
normal,NORMAL,0.38,LOW
normal,NORMAL,0.52,LOW
normal,NORMAL,1.43,LOW
smurf,NORMAL,38.96,MEDIUM
warezmaster,NORMAL,30.37,MEDIUM
neptune,ANOMALY,79.98,HIGH
smurf,ANOMALY,57.62,MEDIUM
normal,NORMAL,27.71,LOW
apache2,ANOMALY,52.81,MEDIUM
mscan,ANOMALY,72.52,HIGH
snmpguess,NORMAL,46.3,MEDIUM
normal,ANOMALY,73.99,HIGH
normal,NORMAL,0.75,LOW
mscan,ANOMALY,75.76,HIGH
mailbomb,NORMAL,13.72,LOW
neptune,ANOMALY,89.78,HIGH
normal,NORMAL,4.41,LOW
smurf,NORMAL,41.28,MEDIUM
normal,NORMAL,16.61,LOW
neptune,ANOMALY,80.72,HIGH
normal,NORMAL,1.74,LOW
neptune,ANOMALY,84.94,HIGH
neptune,ANOMALY,75.41,HIGH
normal,NORMAL,3.08,LOW
httptunnel,ANOMALY,62.09,MEDIUM
normal,NORMAL,8.93,LOW
guess_passwd,NORMAL,11.5,LOW
normal,NORMAL,1.58,LOW
warezmaster,NORMAL,50.12,MEDIUM
httptunnel,ANOMALY,62.4,MEDIUM
processtable,NORMAL,46.0,MEDIUM
neptune,ANOMALY,85.42,HIGH
neptune,ANOMALY,82.04,HIGH
mailbomb,NORMAL,18.36,LOW
normal,NORMAL,15.04,LOW
normal,NORMAL,3.81,LOW
neptune,ANOMALY,86.43,HIGH
normal,NORMAL,0.62,LOW
normal,NORMAL,45.06,MEDIUM
neptune,ANOMALY,79.94,HIGH
neptune,ANOMALY,85.52,HIGH
normal,NORMAL,2.48,LOW
smurf,NORMAL,43.25,MEDIUM
normal,NORMAL,0.61,LOW
normal,NORMAL,0.21,LOW
normal,NORMAL,26.67,LOW
mailbomb,NORMAL,13.15,LOW
normal,NORMAL,0.39,LOW
worm,NORMAL,21.83,LOW
normal,NORMAL,0.38,LOW
guess_passwd,NORMAL,10.04,LOW
warezmaster,NORMAL,28.38,LOW
normal,NORMAL,1.32,LOW
normal,NORMAL,5.75,LOW
smurf,ANOMALY,60.21,MEDIUM
neptune,ANOMALY,76.34,HIGH
neptune,ANOMALY,80.7,HIGH
processtable,ANOMALY,51.81,MEDIUM
smurf,NORMAL,37.52,MEDIUM
neptune,ANOMALY,76.49,HIGH
guess_passwd,NORMAL,13.87,LOW
normal,NORMAL,1.77,LOW
normal,NORMAL,49.71,MEDIUM
normal,NORMAL,0.31,LOW
normal,NORMAL,2.25,LOW
neptune,ANOMALY,87.13,HIGH
warezmaster,NORMAL,27.87,LOW
normal,NORMAL,0.68,LOW
mscan,ANOMALY,72.5,HIGH
mscan,ANOMALY,59.74,MEDIUM
normal,NORMAL,12.31,LOW
normal,NORMAL,2.43,LOW
processtable,NORMAL,39.48,MEDIUM
snmpgetattack,NORMAL,27.05,LOW
neptune,ANOMALY,80.94,HIGH
neptune,ANOMALY,81.14,HIGH
warezmaster,NORMAL,37.25,MEDIUM
saint,ANOMALY,93.52,HIGH
neptune,ANOMALY,87.59,HIGH
neptune,ANOMALY,87.36,HIGH
teardrop,NORMAL,33.44,MEDIUM
normal,NORMAL,3.53,LOW
normal,NORMAL,3.36,LOW
normal,NORMAL,0.93,LOW
guess_passwd,NORMAL,9.9,LOW
guess_passwd,ANOMALY,59.8,MEDIUM
neptune,ANOMALY,82.02,HIGH
warezmaster,NORMAL,28.58,LOW
normal,NORMAL,2.41,LOW
normal,NORMAL,1.56,LOW
satan,ANOMALY,92.9,HIGH
neptune,ANOMALY,89.57,HIGH
neptune,ANOMALY,81.2,HIGH
satan,ANOMALY,92.26,HIGH
snmpguess,NORMAL,26.55,LOW
normal,NORMAL,0.93,LOW
warezmaster,NORMAL,25.3,LOW
neptune,ANOMALY,79.22,HIGH
normal,NORMAL,2.34,LOW
normal,NORMAL,0.94,LOW
normal,NORMAL,19.12,LOW
neptune,ANOMALY,76.15,HIGH
neptune,ANOMALY,82.18,HIGH
neptune,ANOMALY,91.52,HIGH
normal,NORMAL,4.43,LOW
normal,NORMAL,0.44,LOW
normal,NORMAL,1.78,LOW
normal,NORMAL,3.01,LOW
neptune,ANOMALY,80.52,HIGH
neptune,ANOMALY,80.25,HIGH
normal,NORMAL,1.37,LOW
normal,NORMAL,4.55,LOW
apache2,ANOMALY,73.7,HIGH
normal,NORMAL,34.41,MEDIUM
normal,NORMAL,2.07,LOW
normal,NORMAL,20.75,LOW
neptune,ANOMALY,75.05,HIGH
back,NORMAL,17.53,LOW
mscan,ANOMALY,68.67,MEDIUM
neptune,ANOMALY,82.36,HIGH
guess_passwd,NORMAL,19.53,LOW
normal,NORMAL,2.93,LOW
normal,NORMAL,1.12,LOW
normal,NORMAL,13.77,LOW
normal,NORMAL,38.24,MEDIUM
normal,NORMAL,14.16,LOW
ps,NORMAL,29.46,LOW
normal,NORMAL,5.69,LOW
neptune,ANOMALY,74.45,HIGH
smurf,ANOMALY,55.04,MEDIUM
back,NORMAL,17.9,LOW
snmpguess,NORMAL,26.77,LOW
apache2,NORMAL,50.98,MEDIUM
neptune,ANOMALY,80.93,HIGH
normal,NORMAL,13.24,LOW
normal,NORMAL,18.76,LOW
back,NORMAL,18.88,LOW
smurf,ANOMALY,52.99,MEDIUM
normal,NORMAL,49.69,MEDIUM
mscan,ANOMALY,65.64,MEDIUM
normal,NORMAL,1.8,LOW
snmpgetattack,NORMAL,26.66,LOW
mscan,ANOMALY,72.4,HIGH
normal,NORMAL,22.91,LOW
saint,ANOMALY,93.83,HIGH
normal,NORMAL,0.36,LOW
processtable,NORMAL,49.57,MEDIUM
normal,NORMAL,5.36,LOW
normal,NORMAL,2.9,LOW
normal,NORMAL,0.27,LOW
normal,NORMAL,1.05,LOW
neptune,ANOMALY,86.43,HIGH
neptune,ANOMALY,78.59,HIGH
neptune,ANOMALY,85.6,HIGH
buffer_overflow,NORMAL,30.2,MEDIUM
